"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Barbados","BRB","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","11.3999996185303","10.8000001907349","13.6999998092651","15","17.1000003814697","18.7000007629395","17.8999996185303","17.8999996185303","17.6000003814697","14.1000003814697","15","17.1000003814697","22.8999996185303","25.6000003814697","23","19.7000007629395","14.6999998092651","14.6000003814697","12.3000001907349","10.3999996185303","9.30000019073486","9.80000019073486","10.3000001907349","11","9.80000019073486","9.10000038146973","8.69999980926514","7.40000009536743","8.10000038146973","10","10.8000001907349","11.1999998092651","11.6000003814697","",
"Brunei Darussalam","BRN","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.69999980926514","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39999997615814","1.39999997615814","","1.89999997615814","","1.79999995231628","2.5","3.09999990463257","3.09999990463257","3.70000004768372","","4","3.29999995231628","3.09999990463257","2.09999990463257","",
"Botswana","BWA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","25.7000007629395","","","","","","13.8000001907349","","","21.2000007629395","","21.5","","20.7999992370605","","15.8000001907349","18.6000003814697","","23.7999992370605","","","17.6000003814697","","","","","","","",
"Sub-Saharan Africa (IFC classification)","CAA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","7.5","7.59999990463257","11","12","11.3000001907349","10.6000003814697","9.69999980926514","8.80000019073486","7.80000019073486","7.5","8.10000038146973","10.3000001907349","11.1999998092651","11.3999996185303","10.3999996185303","9.5","9.60000038146973","9.10000038146973","8.30000019073486","7.59999990463257","6.80000019073486","7.19999980926514","7.69999980926514","7.59999990463257","7.19999980926514","6.69999980926514","6.30000019073486","6","6.09999990463257","8.30000019073486","8","7.40000009536743","7.19999980926514","",
"East Asia and the Pacific (IFC classification)","CEA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.09999990463257","1.70000004768372","2.79999995231628","3.70000004768372","3.79999995231628","3.29999995231628","3.70000004768372","4.09999990463257","3.59999990463257","3.09999990463257","2.70000004768372","2.5","2.90000009536743","4.09999990463257","4.30000019073486","4.40000009536743","4","3.59999990463257","3.40000009536743","4.09999990463257","4.5","4","4.19999980926514","",
"Channel Islands","CHI","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","10.3999996185303","11.3000001907349","19.6000003814697","14.6999998092651","13.8999996185303","12.1999998092651","8.69999980926514","7.90000009536743","6.30000019073486","5.30000019073486","5.69999980926514","5.30000019073486","4.40000009536743","4.5","5.90000009536743","4.69999980926514","6.30000019073486","6.09999990463257","6.30000019073486","9.80000019073486","9.19999980926514","9.10000038146973","8.89999961853027","8.5","8.80000019073486","8","7.69999980926514","7.09999990463257","7.80000019073486","9.69999980926514","8.10000038146973","7.09999990463257","6.40000009536743","",
"China","CHN","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","4.90000009536743","3.79999995231628","3.20000004768372","2.29999995231628","1.89999997615814","1.79999995231628","2","2","2","2.59999990463257","2.5","2.29999995231628","2.29999995231628","2.59999990463257","2.79999995231628","2.90000009536743","3","3.09999990463257","3.09999990463257","3.09999990463257","3.09999990463257","3.59999990463257","4","4.30000019073486","4.19999980926514","4.19999980926514","4.09999990463257","4","","","","","","",
"Cote d'Ivoire","CIV","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.69999980926514","","","4.09999990463257","","","4.09999990463257","","","","","","","","","","","","","","","",
"Latin America and the Caribbean (IFC classification)","CLA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
